rank_test_score,mean_test_score,std_test_score,param_learning_rate,param_max_depth,param_num_leaves,param_reg_alpha,param_reg_lambda
152,0.5799961242725244,0.040169117172795435,0.05,5,31,0.1,0.0
153,0.5799482957412304,0.0670293530681411,0.2,7,15,0.0,1.0
154,0.5797245613505329,0.06410275689240108,0.05,7,7,0.1,0.1
155,0.5796177774397989,0.06626539493313043,0.1,3,7,0.0,0.1
156,0.5792483350079831,0.053675067689028924,0.2,5,31,0.0,1.0
157,0.579196230509994,0.054855061737839154,0.05,7,15,1.0,0.1
158,0.5789754589532431,0.048320458416329655,0.2,5,31,1.0,0.0
159,0.5788585085738059,0.0613523530622736,0.05,7,7,0.0,0.1
160,0.5785090479577193,0.06136221460467964,0.05,5,7,0.0,0.0
161,0.5785024106711971,0.06019865330504041,0.05,5,15,0.0,0.0
162,0.578204562782116,0.06762634195774786,0.05,7,7,1.0,0.0
163,0.5779702645367273,0.05448635434549647,0.05,5,31,1.0,1.0
164,0.5778671379026308,0.04569202813405212,0.1,7,15,0.1,1.0
165,0.5777814004093351,0.04707049852875464,0.05,7,31,0.0,0.0
166,0.5776347546406015,0.07301772106879241,0.05,5,7,0.1,0.1
167,0.5775913259416272,0.06013029112864514,0.05,7,31,0.0,1.0
168,0.5774930573420306,0.04262266506383157,0.1,7,15,0.0,0.0
169,0.5773613021436355,0.04277290601635459,0.2,5,15,0.1,0.1
170,0.5772360188319389,0.05698820713949383,0.05,5,31,0.1,1.0
171,0.5772046895269993,0.04988019484725974,0.2,5,7,0.0,0.1
172,0.5769853242933243,0.0808355754965646,0.2,7,7,1.0,0.1
173,0.5769398419345911,0.04938647683431076,0.1,7,31,0.1,0.1
174,0.576939166772972,0.07459522458636099,0.2,5,7,0.1,1.0
175,0.5764151406795376,0.05337965932505729,0.05,7,15,0.0,0.0
176,0.5761791104518398,0.06612069244409488,0.1,7,7,0.0,0.0
177,0.5757628554552194,0.06260597971222338,0.1,5,7,0.0,0.0
178,0.575574892127968,0.05427543908825884,0.05,5,15,0.1,1.0
179,0.5752099966337318,0.05829921487020764,0.1,5,15,0.1,0.1
180,0.5751517562760794,0.05883746309513118,0.05,7,31,0.0,0.1
181,0.5749785677301622,0.043962947234146434,0.05,5,31,0.0,0.1
182,0.5749575599322034,0.06111714924610144,0.2,5,31,0.1,0.1
183,0.5749544741195516,0.05416969789644881,0.1,5,31,0.0,0.0
184,0.5745280627891163,0.05542137313341377,0.05,7,31,0.1,1.0
185,0.5743768012700823,0.0830832053242203,0.1,7,7,0.0,1.0
186,0.5743656170234387,0.048563851991453716,0.05,5,15,1.0,0.0
187,0.5739191573600196,0.04833480698619729,0.1,5,31,1.0,0.0
188,0.5738900358316488,0.0415726259167417,0.1,5,15,0.1,0.0
189,0.5735594850761764,0.05758210209652081,0.1,5,15,0.0,0.1
190,0.573473154305129,0.058421781372266994,0.05,7,7,0.0,0.0
191,0.5733652844802186,0.05380030708262954,0.2,5,15,0.0,0.1
192,0.5730364830607848,0.08505230801715409,0.2,3,7,1.0,1.0
193,0.5729961290087034,0.0497414277019062,0.05,5,15,0.0,0.1
194,0.5725954762284078,0.06433472908682518,0.2,7,7,1.0,0.0
195,0.5724509339192069,0.06580585920596199,0.05,5,15,0.0,1.0
196,0.5723598321306247,0.08058580985350053,0.2,3,7,1.0,0.0
197,0.57216998214259,0.04834234684015315,0.05,7,15,0.0,0.1
198,0.5721253386528105,0.054710222422346945,0.05,5,15,1.0,0.1
199,0.572050593101361,0.06535633765264681,0.2,7,7,0.0,1.0
200,0.5718760489487913,0.04563539346877816,0.1,7,31,0.0,0.0
201,0.5717745949186062,0.05786049941389021,0.1,5,15,0.0,1.0
202,0.5714390538042132,0.0794725401576117,0.1,7,7,0.1,1.0
203,0.5708895352240506,0.09256658590340584,0.2,5,7,1.0,0.0
204,0.5698502695225043,0.07142147113245398,0.05,7,31,1.0,0.0
205,0.5696854981545965,0.055928088567310665,0.2,3,31,0.0,0.0
205,0.5696854981545965,0.055928088567310665,0.2,3,15,0.0,0.0
207,0.5695503530594241,0.06288963565677688,0.1,5,15,0.1,1.0
208,0.5692617948794118,0.04806233390839611,0.1,5,15,1.0,0.0
209,0.5686741127225019,0.07285460241881107,0.2,3,15,0.0,1.0
209,0.5686741127225019,0.07285460241881107,0.2,3,31,0.0,1.0
211,0.5686506740010341,0.06300169529724085,0.2,3,7,0.0,0.1
212,0.568043601799429,0.047436356490661566,0.05,5,15,0.1,0.1
213,0.5680336829136218,0.073761092418804,0.2,7,7,0.1,0.0
214,0.5673112043109756,0.05587565867802226,0.05,5,15,0.1,0.0
215,0.5672836474673464,0.06900018926963046,0.05,5,31,1.0,0.0
