number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
34,0.5898281499422998,2026-06-02 02:15:45.368423,2026-06-02 02:15:45.691884,0 days 00:00:00.323461,0.8703351379590205,0.16221566471299412,5,19,3.2218605053922116,2.4716147880199615,0.8323023306970114,COMPLETE
35,0.5984791791916266,2026-06-02 02:15:45.691947,2026-06-02 02:15:46.110821,0 days 00:00:00.418874,0.9118661929697202,0.19664771617423407,8,66,1.9962893097866756,3.6427014084732847,0.768242304478299,COMPLETE
36,0.5942397828487048,2026-06-02 02:15:46.110938,2026-06-02 02:15:46.481852,0 days 00:00:00.370914,0.9217330711269506,0.1948832279220424,9,95,1.8056042824560954,3.5836787144670383,0.7630091801130302,COMPLETE
37,0.5900562752950479,2026-06-02 02:15:46.481921,2026-06-02 02:15:46.908081,0 days 00:00:00.426160,0.8990569505898381,0.15344508830433143,8,67,2.1735775849306616,3.0856636602500673,0.7938990573720539,COMPLETE
38,0.5700664668283101,2026-06-02 02:15:46.908143,2026-06-02 02:15:47.387570,0 days 00:00:00.479427,0.9070752979154351,0.10122187714847083,9,74,1.0834260616404205,1.6757471933111576,0.7763692891374191,COMPLETE
39,0.5711627249604861,2026-06-02 02:15:47.387667,2026-06-02 02:15:47.778383,0 days 00:00:00.390716,0.9448921808443509,0.06653924662743804,8,19,2.526429095155263,2.789511929328383,0.7261654517226267,COMPLETE
40,0.5213005613051479,2026-06-02 02:15:47.778444,2026-06-02 02:15:48.220654,0 days 00:00:00.442210,0.7380743837156103,0.009151182465185221,7,106,1.0453008958346595,0.6194783455582631,0.8172768204186662,COMPLETE
41,0.5909794024407516,2026-06-02 02:15:48.220872,2026-06-02 02:15:48.559097,0 days 00:00:00.338225,0.8668893193332708,0.1332142190230732,7,53,3.6746189764394814,4.037123467098887,0.7117163678265095,COMPLETE
42,0.5561720410676033,2026-06-02 02:15:48.559153,2026-06-02 02:15:48.903193,0 days 00:00:00.344040,0.8254738143537883,0.022229296554331528,5,66,2.8400985467408963,3.308735369415882,0.7687293693794037,COMPLETE
43,0.5852769102275805,2026-06-02 02:15:48.903255,2026-06-02 02:15:49.237760,0 days 00:00:00.334505,0.8796245833380002,0.16051758768268878,8,42,4.55085115789747,3.773711598756418,0.7346330783583772,COMPLETE
44,0.5945552089910797,2026-06-02 02:15:49.237917,2026-06-02 02:15:49.513055,0 days 00:00:00.275138,0.9265169528985469,0.19918720816699262,4,31,2.251087179084685,4.719278157711021,0.8344878699878302,COMPLETE
45,0.574478922639443,2026-06-02 02:15:49.513118,2026-06-02 02:15:49.885219,0 days 00:00:00.372101,0.8513482651920329,0.11657767760495646,6,85,1.9667580560134654,4.403494536777044,0.996902350205356,COMPLETE
46,0.5796284205218935,2026-06-02 02:15:49.885276,2026-06-02 02:15:50.274354,0 days 00:00:00.389078,0.9773008931028953,0.08910751955623283,6,55,3.102152933661988,4.714808278817505,0.789587124916829,COMPLETE
47,0.5856024416311584,2026-06-02 02:15:50.274410,2026-06-02 02:15:50.689365,0 days 00:00:00.414955,0.9079739250320884,0.16324269760811613,8,46,2.7396735715787015,4.3074992446447755,0.8383986321248819,COMPLETE
48,0.5994716475417848,2026-06-02 02:15:50.689539,2026-06-02 02:15:50.995449,0 days 00:00:00.305910,0.8917634960552918,0.131906771821964,9,22,4.721006738308999,4.052278448447763,0.8133756326656691,COMPLETE
49,0.611016965474218,2026-06-02 02:15:50.995536,2026-06-02 02:15:51.243377,0 days 00:00:00.247841,0.9624383071630394,0.07592114436153927,9,7,4.714421143721598,4.06471886908142,0.8130964536004787,COMPLETE
